country,year,ear_mnee_noc_nb
usa,2003,2687.0
ven,1995,34.0
ven,2003,240.0
ven,2009,1300.0
aze,1997,18.0
arg,1996,450.0
arg,2004,500.0
arg,2009,1760.0
col,1998,285000.0
col,1999,300000.0
col,2000,300000.0
can,2000,2438.0
can,2008,3033.0
aus,2008,3488.0
aus,2010,3835.0
bra,2004,499.0
bra,2009,778.0
dnk,2002,29590.0
dnk,2008,35799.0
hnd,1995,700.0
hnd,2001,2000.0
hnd,2002,2000.0
cri,2000,90930.0
ecu,2007,240.0
isl,2002,166000.0
cze,2008,22217.0
fin,1998,10493.0
kor,2000,1023150.0
kor,2010,1824000.0
isr,1998,4293.0
isr,2003,5078.0
isr,2006,5246.0
lva,2009,319.0
nzl,2008,3158.0
nzl,2009,3293.0
nor,2008,29900.0
nor,2011,33300.0
mlt,2009,1062.0
mlt,2010,1106.0
mlt,2011,1143.0
lux,1995,2356.0
mex,1999,2064.0
mac,2000,4822.0
mac,2002,4672.0
mex,2004,3440.0
mex,2008,4300.0
mex,2010,4300.0
mda,2009,1600.0
pan,1995,312.0
prt,1999,499.0
esp,2005,1261.0
esp,2008,1520.0
per,1997,620.0
per,2007,676.0
sen,1998,123700.0
sen,2003,142133.0
sen,2004,139938.0
phl,2001,4716.0
phl,2007,5578.0
pol,1999,1487.0
usa,1996,2123.0
usa,2001,2583.0
usa,2004,2765.0
usa,2008,3129.0
ury,2002,5000.0
ury,2007,8076.0
ven,1997,83.0
ven,2000,144.0
aut,2007,1968.0
aut,2009,2037.0
aze,2002,25.0
arg,2000,450.0
col,2002,343000.0
col,2009,633500.0
bel,2002,2056.0
bra,2008,699.0
fin,2002,2047.0
hnd,2003,2250.0
cri,2009,252747.0
cri,2010,275000.0
ecu,1996,157.0
ecu,2000,82.0
ecu,2004,210.0
ecu,2011,352.0
egy,2009,1018.0
isl,2008,267000.0
isl,2009,282000.0
cyp,2009,1526.0
cyp,2010,1566.0
est,2007,643.0
cze,2002,15542.0
cod,2005,5500.0
mda,2010,1800.0
kor,1998,915000.0
isr,1995,3091.0
isr,2002,5122.0
isr,2005,5131.0
isr,2010,5984.0
nzl,1999,2253.0
nzl,2000,2318.0
nzl,2010,3333.0
nor,2002,23177.0
nor,2004,24821.0
nor,2006,26700.0
ltu,2010,1638.0
mex,1998,1720.0
mex,2001,3000.0
mex,2005,3655.0
mex,2009,4300.0
mac,2007,7800.0
prt,2005,648.0
prt,2007,693.0
per,2001,689.0
per,2002,728.0
per,2005,578.0
swe,2006,22200.0
swe,2009,24900.0
sen,1999,134736.0
sen,2005,142133.0
phl,2003,5183.0
phl,2004,5183.0
pol,1996,718.0
pol,1997,946.0
pol,2001,1826.0
pol,2004,1951.0
svk,2011,670.0
gbr,2006,1573.0
gbr,2000,1298.0
uga,2007,140000.0
usa,1998,2271.0
usa,2009,3202.0
usa,2011,3276.0
ven,1998,120.0
ven,2007,800.0
aut,2001,1760.0
aut,2004,1830.0
bfa,2001,17000.0
aze,2003,25.0
col,2010,690000.0
arm,2008,60000.0
arm,2009,60000.0
bel,2003,2137.0
bel,2006,2292.0
bel,2007,2342.0
can,1999,2383.0
can,2001,2499.0
aus,2006,3250.0
aus,2007,3402.0
fin,2009,2645.0
hnd,2004,2400.0
hnd,2008,3668.0
cri,1995,49451.0
cri,2003,125570.0
cri,2004,136264.0
cri,2005,150000.0
cri,2006,170000.0
cri,2007,190330.0
cri,2008,219780.0
ecu,1997,150.0
ecu,2002,180.0
ecu,2006,228.0
ecu,2010,306.0
isl,1999,122000.0
cze,2009,22229.0
cze,2011,21826.0
kor,1995,720000.0
isr,1996,3484.0
lva,2010,303.0
nzl,2005,2765.0
nor,1997,17871.0
nor,1999,19979.0
nor,2000,20962.0
nor,2009,30900.0
mlt,2001,835.0
mlt,2007,1009.0
jpn,2009,256800.0
mex,1995,903.0
mac,2004,5167.0
mac,2011,10000.0
pan,2003,300.0
pan,2005,350.0
pan,2006,350.0
prt,1998,486.0
per,1998,700.0
per,2009,799.0
swe,2005,21600.0
sen,1996,111864.0
phl,2008,6058.0
pol,2010,2907.0
svk,2007,16917.0
gbr,2004,1497.0
gbr,1998,1214.0
gbr,1999,1257.0
are,2009,3200.0
usa,2002,2635.0
usa,2006,2908.0
ven,2008,1100.0
ven,2010,1700.0
aut,2003,1809.0
aut,2005,1860.0
aze,2007,451.0
col,1997,240000.0
arg,2001,400.0
arg,2007,1100.0
col,2005,426100.0
arm,2010,70000.0
can,2003,2600.0
can,2005,2750.0
aus,1997,2210.0
aus,2002,2708.0
aus,2003,2808.0
aus,2004,2916.0
aus,2009,3683.0
bra,2003,477.0
bra,2010,815.0
fin,2007,2428.0
dnk,2006,32944.0
hnd,2009,4000.0
ecu,2009,280.0
isl,2001,153000.0
cze,2004,17706.0
cze,2007,20908.0
fin,1997,10137.0
fin,2001,1972.0
lva,2011,321.0
mlt,2008,1039.0
mex,1997,1400.0
mex,2002,3096.0
mex,2007,4200.0
mac,2006,6701.0
mac,2009,8500.0
mda,2008,1500.0
pan,2000,350.0
pan,2002,300.0
pan,2007,355.0
pan,2010,435.0
prt,1995,424.0
esp,2006,1312.0
per,2010,800.0
swe,2008,24000.0
sen,2001,149152.0
sen,2002,152286.0
phl,2002,4868.0
phl,2009,6327.0
pol,2008,2640.0
svk,2005,14836.0
svk,2010,651.0
tur,2006,583.0
gbr,2003,1451.0
gbr,2011,1750.0
usa,1995,2076.0
usa,2007,3012.0
ury,2004,5600.0
ury,2005,5975.0
ury,2008,8900.0
ury,2009,10249.0
ury,2010,11319.0
ven,2002,200.0
aut,2010,2043.0
aze,1999,35.0
aze,2000,25.0
aze,2005,81.0
col,1996,200000.0
arg,2008,1400.0
col,2006,460000.0
arm,2007,50000.0
bel,1999,1893.0
bel,2001,2018.0
can,2011,3250.0
aus,2005,3033.0
bra,2011,936.0
aut,1997,1651.0
aut,1999,1703.0
aut,2000,1730.0
fin,2004,2198.0
fin,2010,2717.0
hnd,2006,3000.0
ecu,1995,136.0
ecu,1998,138.0
ecu,2003,180.0
ecu,2005,215.0
isl,2006,228000.0
isl,2011,307000.0
cze,2006,19512.0
fin,1995,9648.0
mda,2011,1900.0
kor,1996,811000.0
kor,2002,1179000.0
kor,2008,1717000.0
isr,2007,5547.0
lva,2008,356.0
nzl,2004,2613.0
nzl,2006,2909.0
nor,2003,23923.0
nor,2005,25575.0
mlt,2000,789.0
mlt,2002,878.0
mlt,2003,913.0
mlt,2005,947.0
jpn,2006,264600.0
lux,2002,3033.0
lux,2006,3408.0
mac,1998,5050.0
pan,2001,300.0
pan,2004,300.0
pan,2008,400.0
prt,1996,448.0
prt,2002,589.0
prt,2006,668.0
per,2000,726.0
swe,2007,23000.0
phl,2006,5254.0
pol,1998,1090.0
pol,2002,1821.0
svk,2002,11894.0
svk,2004,13544.0
svk,2009,630.0
gbr,2001,1354.0
gbr,2002,1407.0
gbr,2008,1685.0
gbr,2009,1721.0
gbr,2010,1750.0
gbr,1997,1165.0
usa,1997,2180.0
ury,2000,5000.0
ury,2001,4874.0
ury,2011,13345.0
ven,1999,120.0
aze,2004,75.0
arg,1997,450.0
arg,1998,460.0
arg,2002,400.0
col,2003,369000.0
col,2004,399600.0
col,2008,606167.0
bel,2000,1947.0
bel,2004,2204.0
can,1998,2316.0
can,2009,3120.0
dnk,2007,34696.0
dnk,2009,37787.0
hnd,2010,4030.0
cri,2001,104396.0
ecu,2008,270.0
isl,2010,294000.0
cze,2010,22608.0
fin,1999,10793.0
kor,1999,954000.0
kor,2001,1086173.0
kor,2005,1469000.0
kor,2007,1618000.0
kor,2009,1762000.0
isr,1997,3992.0
isr,1999,4561.0
isr,2000,4830.0
isr,2001,5006.0
nzl,2007,3070.0
nor,1998,19314.0
jpn,2003,266400.0
jpn,2007,263100.0
jpn,2008,262100.0
mex,2003,3440.0
mac,2003,4801.0
mac,2005,5773.0
mac,2008,8000.0
mac,2010,9000.0
prt,1997,460.0
prt,2003,607.0
prt,2008,722.0
esp,2007,1393.0
per,1999,703.0
per,2004,592.0
per,2006,624.0
sen,1995,114662.0
phl,2005,5217.0
svk,2003,12469.0
svk,2006,15425.0
tur,2010,868.0
gbr,2007,1629.0
are,2008,3000.0
usa,1999,2379.0
usa,2000,2496.0
usa,2010,3237.0
ury,2006,6973.0
ven,2004,321.0
aut,2002,1785.0
aut,2008,2021.0
aze,1996,22.0
aze,1998,25.0
aze,2006,116.0
aze,2008,551.0
col,1995,160000.0
arg,2003,420.0
arg,2005,700.0
col,2007,549883.0
can,1997,2272.0
can,2002,2576.0
can,2004,2624.0
can,2006,2816.0
can,2010,3167.0
aus,1995,2162.0
aus,1998,2310.0
aus,1999,2392.0
aus,2000,2561.0
aus,2001,2600.0
bra,2005,523.0
bra,2006,598.0
fin,2008,2551.0
dnk,2000,27019.0
dnk,2005,31852.0
hnd,2005,2800.0
ecu,1999,85.0
isl,1998,109000.0
isl,2000,138000.0
isl,2003,180000.0
isl,2004,185000.0
est,2005,428.0
est,2006,518.0
cze,2005,18589.0
kor,1997,887000.0
kor,2003,1273000.0
kor,2004,1353000.0
isr,2009,5846.0
nzl,2001,2383.0
nzl,2002,2448.0
nzl,2003,2535.0
nor,2007,28238.0
mlt,2004,910.0
mlt,2006,974.0
jpn,2001,269500.0
jpn,2004,265400.0
jpn,2005,264600.0
ltu,2011,1689.0
mac,1997,5221.0
mac,1999,4920.0
mac,2001,4658.0
mex,2006,3900.0
nzl,1998,2244.0
mda,2007,1200.0
pan,2009,400.0
prt,2000,526.0
prt,2009,741.0
esp,2004,1223.0
per,2003,683.0
per,2008,744.0
sen,1997,113975.0
sen,2006,141578.0
phl,2010,6454.0
pol,1995,617.0
pol,2006,2130.0
usa,2005,2821.0
ury,2003,5131.0
ven,1996,58.0
ven,2001,168.0
ven,2005,405.0
ven,2006,600.0
aut,2006,1903.0
aze,2001,35.0
arg,1999,450.0
arg,2006,850.0
arg,2010,2000.0
arm,2011,65000.0
bel,2005,2227.0
can,2007,2917.0
aus,2011,3900.0
bra,2007,612.0
aut,1998,1670.0
fin,2003,2118.0
fin,2005,2279.0
fin,2006,2344.0
dnk,2001,28884.0
dnk,2003,30863.0
dnk,2004,30766.0
hnd,2007,3200.0
cri,2002,115000.0
ecu,2001,120.0
isl,2005,210000.0
isl,2007,252000.0
est,2008,735.0
cze,2003,16707.0
fin,1996,10065.0
fin,2000,11319.0
kor,2006,1552000.0
isr,2004,5156.0
isr,2008,5729.0
nzl,2011,3467.0
nor,2001,21746.0
nor,2010,32200.0
mex,1996,1200.0
mex,2000,2580.0
mac,1996,4914.0
mex,2011,4400.0
mda,2006,1000.0
prt,2004,626.0
esp,2009,1567.0
esp,2010,1585.0
per,1995,425.0
swe,2010,25300.0
swe,2011,25900.0
sen,2000,139400.0
phl,2011,6579.0
svk,2008,18348.0
gbr,2005,1513.0
che,1996,4988.0
che,1998,5104.0
che,2006,5674.0
che,2010,5979.0
che,2002,5417.0
che,2004,5548.0
che,2008,5823.0
che,2000,5220.0
