country,year,ear_xxgc_noc_rt
arg,1996,37.6
arg,1997,38.0
arg,1998,39.8
arg,1999,39.1
arg,2000,40.2
arg,2001,41.8
arg,2002,43.6
arg,2003,43.8
arg,2004,42.3
arg,2005,40.3
arg,2006,39.1
arg,2007,39.1
arg,2008,36.9
arg,2009,35.9
arg,2010,35.9
arm,2007,34.1
arm,2008,32.8
arm,2009,30.2
arm,2010,31.1
arm,2011,30.4
bel,1999,24.1
bel,2000,24.1
bel,2001,24.2
bel,2002,24.2
bel,2003,24.3
bel,2004,24.6
bel,2005,24.7
bel,2006,24.6
bel,2007,24.6
bel,2008,24.3
bel,2009,24.2
bel,2010,24.5
bgr,2000,25.0
bgr,2001,26.0
bgr,2002,26.0
bgr,2003,24.0
bgr,2004,26.0
bgr,2005,25.0
bgr,2006,31.2
bgr,2007,35.3
bgr,2008,35.9
bgr,2009,33.4
bgr,2010,33.2
bih,2007,34.1
bra,1995,51.6
bra,1996,50.6
bra,1997,50.5
bra,1998,50.4
bra,1999,49.6
bra,2001,49.3
bra,2002,49.2
bra,2003,47.9
bra,2004,47.3
bra,2005,46.6
bra,2006,46.2
bra,2007,45.4
bra,2008,45.0
bra,2009,44.8
che,1996,22.0
che,1998,22.8
che,2000,23.6
che,2002,23.6
che,2004,23.8
che,2006,24.8
che,2008,26.0
che,2010,25.8
cod,2005,60.0
col,1995,40.5
col,1996,40.5
col,1997,41.9
col,1998,42.4
col,1999,41.3
col,2000,42.7
col,2002,42.3
col,2003,43.6
col,2004,43.1
col,2005,43.3
col,2006,40.5
col,2007,45.9
col,2008,44.4
col,2009,42.2
col,2010,42.8
cri,1995,38.4
cri,1996,38.0
cri,1997,38.1
cri,1998,39.1
cri,1999,39.7
cri,2000,39.3
cri,2001,39.8
cri,2002,38.7
cri,2003,38.5
cri,2004,36.8
cri,2005,38.1
cri,2006,37.1
cri,2007,36.2
cri,2008,38.8
cri,2009,41.6
cri,2010,41.6
cyp,1997,29.0
cyp,2003,27.0
cyp,2005,28.7
cyp,2006,28.8
cyp,2007,29.8
cyp,2008,28.3
cyp,2009,29.1
cyp,2010,29.1
cze,2001,25.0
cze,2005,26.0
cze,2006,25.3
cze,2007,25.3
cze,2008,24.7
cze,2009,25.1
cze,2010,24.9
cze,2011,25.2
deu,1995,29.0
deu,1996,27.0
deu,1997,25.0
deu,1998,25.0
deu,1999,25.0
deu,2000,25.0
deu,2001,25.0
deu,2005,26.1
deu,2006,26.8
deu,2007,30.4
deu,2008,30.2
deu,2009,29.1
deu,2010,29.3
deu,2011,29.0
dnk,1995,20.0
dnk,1997,20.0
dnk,1999,21.0
dnk,2001,22.0
dnk,2003,24.8
dnk,2004,23.9
dnk,2005,23.9
dnk,2006,23.7
dnk,2007,25.2
dnk,2008,25.1
dnk,2009,26.9
dnk,2010,26.9
dnk,2011,27.8
ecu,1995,39.6
ecu,1996,39.4
ecu,1997,43.2
ecu,1998,44.4
ecu,1999,46.0
ecu,2000,46.8
ecu,2001,46.6
ecu,2002,42.4
ecu,2003,44.0
ecu,2004,46.3
ecu,2005,43.6
ecu,2006,41.7
ecu,2007,43.2
ecu,2008,40.8
ecu,2009,40.7
ecu,2010,39.1
ecu,2011,36.0
egy,2000,36.1
egy,2004,33.2
egy,2008,31.1
esp,2004,34.0
esp,2005,33.0
esp,2006,33.0
esp,2007,32.0
esp,2008,32.2
esp,2009,32.8
esp,2010,33.4
esp,2011,33.4
est,2000,36.0
est,2001,35.0
est,2002,35.0
est,2003,34.0
est,2004,37.4
est,2005,34.1
est,2006,33.1
est,2007,33.4
est,2008,30.9
est,2009,31.4
est,2010,31.3
est,2011,31.9
fin,1995,19.1
fin,1996,18.9
fin,1997,19.3
fin,1998,19.3
fin,1999,19.5
fin,2000,20.0
fin,2001,19.5
fin,2002,19.5
fin,2003,19.6
fin,2004,19.6
fin,2005,19.7
fin,2006,20.1
fin,2007,20.3
fin,2008,20.5
fin,2009,20.3
fin,2010,20.2
fra,1995,29.0
fra,1996,29.0
fra,1997,29.0
fra,1998,28.0
fra,1999,29.0
fra,2000,28.0
fra,2001,27.0
fra,2002,27.0
fra,2003,27.0
fra,2004,28.2
fra,2005,27.7
fra,2006,27.3
fra,2007,26.6
fra,2008,29.8
fra,2009,29.9
fra,2010,29.8
gbr,1995,32.0
gbr,1996,32.0
gbr,1997,30.0
gbr,1998,32.0
gbr,1999,32.0
gbr,2000,32.0
gbr,2001,35.0
gbr,2002,35.0
gbr,2003,34.0
gbr,2005,34.6
gbr,2006,32.5
gbr,2007,32.6
gbr,2008,33.9
gbr,2009,32.4
gbr,2010,33.0
grc,1995,35.0
grc,1996,34.0
grc,1997,35.0
grc,1998,35.0
grc,1999,34.0
grc,2000,33.0
grc,2001,33.0
grc,2003,34.7
grc,2004,33.0
grc,2005,33.2
grc,2006,34.3
grc,2007,34.3
grc,2008,33.4
grc,2009,33.1
grc,2010,32.9
hnd,1995,42.0
hnd,1996,41.2
hnd,1997,41.6
hnd,1998,40.1
hnd,1999,43.1
hnd,2001,43.8
hnd,2002,44.6
hnd,2003,43.4
hnd,2004,42.8
hnd,2005,42.2
hnd,2006,41.2
hnd,2007,43.4
hnd,2008,40.5
hnd,2009,39.0
hnd,2010,42.4
hrv,2003,29.0
hrv,2004,30.0
hrv,2005,30.0
hrv,2006,28.0
hrv,2007,29.0
hrv,2008,28.0
hrv,2009,27.0
hrv,2010,31.5
hun,2000,26.0
hun,2001,25.0
hun,2002,24.0
hun,2003,27.0
hun,2005,27.6
hun,2006,33.3
hun,2007,25.6
hun,2008,25.2
hun,2009,24.7
hun,2010,24.1
hun,2011,26.9
irl,1995,33.0
irl,1996,33.0
irl,1997,33.0
irl,1998,34.0
irl,1999,32.0
irl,2000,30.0
irl,2001,29.0
irl,2003,30.6
irl,2004,31.5
irl,2005,31.9
irl,2006,31.9
irl,2007,31.3
irl,2008,29.9
irl,2009,28.8
irl,2010,33.2
isl,2004,24.1
isl,2005,25.1
isl,2006,26.3
isl,2007,28.0
isl,2008,27.3
isl,2009,29.6
isl,2010,25.7
isl,2011,23.6
isr,1995,42.1
isr,1996,41.6
isr,1997,42.6
isr,1998,41.7
isr,1999,42.5
isr,2000,42.6
isr,2001,42.7
isr,2002,42.8
isr,2003,41.8
isr,2004,41.5
isr,2005,42.0
isr,2006,42.1
isr,2007,42.6
isr,2008,42.4
isr,2009,42.0
isr,2010,41.3
ita,1995,33.0
ita,1996,32.0
ita,1997,31.0
ita,1998,31.0
ita,1999,30.0
ita,2000,29.0
ita,2001,29.0
ita,2004,33.2
ita,2005,32.8
ita,2006,32.1
ita,2007,32.2
ita,2008,31.0
ita,2009,31.5
ita,2010,31.2
kaz,1996,31.9
kaz,1997,33.8
kaz,1998,34.7
kaz,1999,33.2
kaz,2000,30.7
kaz,2001,33.9
kaz,2002,32.8
kaz,2003,31.5
kaz,2004,30.5
kaz,2005,30.4
kaz,2006,31.2
kaz,2007,30.9
kaz,2008,28.8
kaz,2009,26.7
kaz,2010,27.8
kgz,1995,37.3
kgz,1996,39.1
kgz,1997,45.3
kgz,1998,44.7
kgz,1999,44.3
kgz,2000,44.9
kgz,2001,44.1
kgz,2002,41.9
kgz,2003,40.7
kgz,2004,42.2
kgz,2005,43.3
kgz,2006,44.6
kgz,2007,42.2
kgz,2008,36.3
kgz,2009,37.1
kgz,2010,37.1
ltu,2000,31.0
ltu,2001,31.0
ltu,2005,36.3
ltu,2006,35.0
ltu,2007,33.8
ltu,2008,34.0
ltu,2009,35.5
ltu,2010,36.9
ltu,2011,32.9
lux,2008,38.0
lux,2009,36.0
lux,2010,37.0
lux,2011,37.0
lva,2000,34.0
lva,2005,36.1
lva,2006,39.2
lva,2007,35.4
lva,2008,37.7
lva,2009,37.4
lva,2010,36.1
lva,2011,35.2
mda,2006,33.2
mda,2007,32.1
mda,2008,31.2
mda,2009,30.0
mda,2010,29.3
mda,2011,28.8
mex,1995,44.1
mex,1996,42.4
mex,1997,42.5
mex,1998,41.5
mex,1999,40.0
mex,2000,41.5
mex,2001,39.8
mex,2002,37.5
mex,2003,37.5
mex,2004,38.6
mex,2005,37.9
mex,2006,37.0
mex,2007,36.8
mex,2008,36.0
mex,2009,36.3
mex,2010,36.5
mex,2011,34.7
mlt,2008,18.8
mlt,2009,18.9
mlt,2010,18.0
mus,1997,38.7
mus,2001,37.1
mus,2007,38.9
nld,2000,27.8
nld,2001,26.8
nld,2002,26.9
nld,2003,26.9
nld,2004,27.2
nld,2005,27.0
nld,2006,26.4
nld,2007,28.1
nld,2008,28.0
nor,2003,26.6
nor,2004,25.2
nor,2005,28.2
nor,2006,31.1
nor,2007,23.7
nor,2008,25.1
nor,2009,24.1
nor,2010,23.6
nor,2011,22.9
nzl,1998,35.9
nzl,1999,36.3
nzl,2000,35.8
nzl,2001,35.9
nzl,2002,35.6
nzl,2003,36.2
nzl,2004,35.7
nzl,2005,35.9
nzl,2006,34.9
nzl,2007,36.2
nzl,2008,35.6
nzl,2009,34.9
nzl,2010,35.4
nzl,2011,35.1
pan,1995,43.7
pan,1996,40.6
pan,1997,39.2
pan,1998,38.2
pan,1999,36.1
pan,2000,39.7
pan,2001,40.3
pan,2002,43.0
pan,2003,42.9
pan,2004,42.9
pan,2005,41.5
pan,2006,41.5
pan,2007,39.8
pan,2008,38.4
pan,2009,38.8
pan,2010,37.4
per,1995,46.9
per,1997,43.0
per,1998,44.1
per,1999,47.9
per,2000,46.8
per,2001,48.3
per,2002,44.2
per,2003,47.0
per,2004,44.9
per,2005,46.2
per,2006,44.6
per,2007,43.7
per,2008,42.1
per,2009,42.3
per,2010,42.2
phl,1997,48.7
phl,2000,48.2
phl,2003,46.1
phl,2006,45.8
phl,2009,44.8
pol,1995,29.1
pol,1996,29.8
pol,1997,30.3
pol,1998,29.4
pol,1999,30.6
pol,2001,31.4
pol,2002,32.7
pol,2004,33.6
pol,2006,34.3
pol,2008,33.3
pol,2010,32.4
prt,1995,34.5
prt,1996,34.7
prt,1997,34.4
prt,1998,34.3
prt,1999,34.2
prt,2000,33.7
prt,2002,34.2
prt,2003,34.5
prt,2004,34.9
prt,2005,35.1
prt,2006,35.0
prt,2007,34.7
prt,2008,34.7
prt,2009,34.4
qat,2007,35.5
rou,2000,29.4
rou,2001,29.5
rou,2002,30.0
rou,2003,29.6
rou,2004,30.7
rou,2005,31.1
rou,2006,32.6
rou,2007,31.7
rou,2008,30.5
rou,2009,29.4
rou,2010,29.4
rus,2005,14.9
rus,2006,15.3
rus,2007,15.1
rus,2008,14.9
rus,2009,14.7
svk,2005,26.2
svk,2006,28.1
svk,2007,24.5
svk,2008,23.7
svk,2009,24.8
svk,2010,25.9
svn,2000,22.0
svn,2001,22.0
svn,2002,22.0
svn,2003,22.0
svn,2005,23.8
svn,2006,23.7
svn,2007,23.2
svn,2008,23.4
svn,2009,22.7
svn,2010,23.8
svn,2011,23.8
swe,1997,21.0
swe,1999,22.0
swe,2001,24.0
swe,2002,23.0
swe,2004,23.0
swe,2005,23.4
swe,2006,24.0
swe,2007,23.4
swe,2008,24.0
swe,2009,24.8
swe,2010,24.1
swe,2011,24.4
tur,2006,34.5
tur,2007,33.9
tur,2008,34.1
tur,2009,34.9
tur,2010,33.8
ury,2000,41.2
ury,2001,42.2
ury,2002,42.0
ury,2003,42.2
ury,2004,42.6
ury,2005,42.3
ury,2006,42.6
ury,2007,42.7
ury,2008,42.3
ury,2009,42.0
ury,2010,40.7
ury,2011,39.1
ven,1995,35.2
ven,1996,38.1
ven,1997,40.7
ven,1998,38.5
ven,1999,37.2
ven,2000,34.3
ven,2001,36.6
ven,2002,36.5
ven,2003,36.1
ven,2004,34.3
ven,2005,35.6
ven,2006,29.6
ven,2007,28.8
ven,2008,27.7
ven,2009,26.1
ven,2010,24.6
